Name,Class,Role,Tier,Trend,Win %,Role %,Pick %,Ban %,KDA
Aatrox,Fighter,TOP,S,-31.86,47.68%,91.63%,6.62%,Blue (9.8%)/Red (2.18%),1.77
Ahri,Mage,MID,S,4.55,49.50%,94.65%,5.81%,Blue (1.54%)/Red (0.19%),2.58
Akali,Assassin,MID,S,4.33,48.41%,75.74%,8.11%,Blue (5.74%)/Red (7.28%),2.37
Akali,Assassin,TOP,C,-1.51,45.92%,23.50%,2.55%,Blue (0.47%)/Red (12.55%),2.0
Akshan,Marksman,MID,A,0.34,51.62%,66.03%,2.75%,Blue (0.06%)/Red (3.73%),2.26
Akshan,Marksman,TOP,B,2.61,51.69%,25.56%,1.01%,Blue (1.56%)/Red (2.23%),2.0
Alistar,Tank,SUPPORT,B,-1.03,50.09%,95.95%,2.67%,Blue (0.13%)/Red (0.47%),2.46
Amumu,Tank,JUNGLE,S,16.78,52.87%,49.07%,4.44%,Blue (3.5%)/Red (1.7%),2.82
Amumu,Tank,SUPPORT,A,1.09,52.39%,50.05%,4.09%,Blue (0.33%)/Red (4.87%),2.18
Anivia,Mage,MID,S,9.21,53.22%,86.04%,3.60%,Blue (2.56%)/Red (1.0%),3.03
Annie,Mage,MID,C,-4.78,49.13%,74.96%,1.29%,Blue (0.24%)/Red (0.13%),2.3
Annie,Mage,SUPPORT,D,0.67,47.00%,13.05%,0.21%,Blue (0.22%)/Red (0.15%),2.27
Aphelios,Marksman,ADC,D,-4.83,46.60%,96.77%,3.48%,Blue (0.16%)/Red (0.35%),1.95
Ashe,Marksman,SUPPORT,S,18.82,50.02%,55.73%,8.75%,Blue (0.08%)/Red (5.95%),2.44
Ashe,Marksman,ADC,B,-4.93,50.27%,42.22%,6.49%,Blue (4.21%)/Red (1.82%),2.43
Aurelion Sol,Mage,MID,C,-1.21,50.42%,87.99%,0.71%,Blue (0.25%)/Red (0.02%),2.54
Azir,Mage,MID,C,-0.97,46.31%,91.28%,2.40%,Blue (0.5%)/Red (0.01%),2.12
Bard,Support,SUPPORT,A,-0.29,50.30%,97.18%,3.25%,Blue (0.15%)/Red (0.33%),3.1
Bel'Veth,Fighter,JUNGLE,A,-3.44,50.94%,94.30%,3.89%,Blue (4.15%)/Red (4.05%),2.39
Blitzcrank,Tank,SUPPORT,S+,3.05,51.75%,97.28%,7.49%,Blue (17.49%)/Red (0.76%),2.46
Brand,Mage,SUPPORT,B,-7.24,50.72%,76.74%,3.32%,Blue (1.2%)/Red (2.83%),1.85
Brand,Mage,MID,C,-2.39,50.69%,15.84%,0.74%,Blue (3.47%)/Red (0.94%),2.04
Braum,Support,SUPPORT,C,-2.6,48.89%,98.55%,1.71%,Blue (0.05%)/Red (0.22%),2.68
Caitlyn,Marksman,ADC,S+,1.35,50.37%,96.12%,20.28%,Blue (4.82%)/Red (13.74%),2.3
Camille,Fighter,TOP,S,-0.44,50.33%,93.66%,5.90%,Blue (0.87%)/Red (1.67%),1.97
Cassiopeia,Mage,MID,A,4.1,51.64%,77.88%,2.64%,Blue (0.68%)/Red (1.0%),2.25
Cassiopeia,Mage,TOP,B,2.69,52.77%,13.88%,0.51%,Blue (0.6%)/Red (1.08%),1.95
Cho'Gath,Tank,MID,B,-1.6,53.13%,20.82%,0.45%,Blue (0.36%)/Red (0.4%),2.47
Cho'Gath,Tank,TOP,B,-1.1,50.27%,65.37%,1.81%,Blue (0.51%)/Red (0.25%),2.06
Corki,Marksman,MID,C,-6.42,48.61%,90.20%,0.87%,Blue (0.1%)/Red (0.06%),2.23
Darius,Fighter,TOP,S+,-7.0,49.88%,94.72%,9.34%,Blue (11.08%)/Red (11.34%),1.87
Diana,Fighter,JUNGLE,S,-15.21,50.55%,70.61%,6.61%,Blue (2.88%)/Red (1.72%),2.55
Diana,Fighter,MID,B,-4.78,49.84%,27.49%,2.45%,Blue (2.79%)/Red (1.81%),2.09
Dr. Mundo,Marksman,TOP,A,-35.52,49.64%,85.79%,4.07%,Blue (1.48%)/Red (8.55%),1.86
Draven,Fighter,ADC,A,-0.85,49.66%,96.04%,7.55%,Blue (7.91%)/Red (14.23%),2.12
Ekko,Assassin,JUNGLE,S,-5.43,50.98%,71.07%,7.27%,Blue (4.32%)/Red (1.89%),2.81
Ekko,Assassin,MID,B,-2.98,50.18%,26.44%,2.63%,Blue (5.0%)/Red (1.21%),2.31
Elise,Mage,JUNGLE,S+,16.71,52.37%,96.95%,6.93%,Blue (1.43%)/Red (10.3%),2.9
Evelynn,Assassin,JUNGLE,A,-4.53,50.54%,98.06%,4.44%,Blue (6.44%)/Red (1.35%),3.01
Ezreal,Marksman,ADC,S+,-4.86,48.39%,94.75%,18.55%,Blue (0.49%)/Red (3.04%),2.4
Fiddlesticks,Mage,JUNGLE,A,4.53,52.09%,85.92%,3.68%,Blue (0.88%)/Red (1.99%),2.84
Fiddlesticks,Mage,SUPPORT,C,-1.15,51.43%,10.34%,0.38%,Blue (2.7%)/Red (0.04%),2.11
Fiora,Fighter,TOP,S+,-20.63,50.72%,97.61%,7.62%,Blue (7.41%)/Red (13.87%),1.72
Fizz,Assassin,MID,B,-3.08,49.73%,94.84%,3.08%,Blue (2.4%)/Red (0.72%),2.4
Galio,Tank,MID,A,-1.53,51.32%,80.94%,2.31%,Blue (0.2%)/Red (0.11%),2.71
Galio,Tank,SUPPORT,D,-5.57,48.87%,15.56%,0.42%,Blue (0.14%)/Red (0.18%),2.29
Gangplank,Fighter,TOP,S+,2.93,50.56%,79.71%,7.97%,Blue (3.47%)/Red (6.34%),2.02
Gangplank,Fighter,MID,B,-2.91,51.00%,19.32%,2.11%,Blue (3.75%)/Red (6.06%),2.2
Garen,Fighter,TOP,S,-0.12,50.12%,86.14%,5.48%,Blue (1.38%)/Red (0.16%),2.03
Gnar,Fighter,TOP,B,2.92,48.68%,96.81%,2.86%,Blue (0.03%)/Red (0.32%),1.9
Gragas,Fighter,JUNGLE,B,13.67,51.00%,45.36%,2.53%,Blue (0.6%)/Red (0.25%),3.05
Gragas,Fighter,MID,B,0.48,52.46%,11.47%,0.65%,Blue (0.23%)/Red (0.62%),2.66
Gragas,Fighter,TOP,B,6.76,49.21%,36.79%,2.14%,Blue (0.84%)/Red (0.01%),2.2
Graves,Marksman,JUNGLE,S,-1.82,49.67%,89.60%,6.62%,Blue (1.4%)/Red (2.06%),2.66
Gwen,Fighter,TOP,B,-2.82,49.30%,86.87%,2.85%,Blue (0.55%)/Red (0.24%),1.76
Hecarim,Fighter,JUNGLE,A,-27.21,47.24%,99.04%,5.59%,Blue (3.48%)/Red (6.65%),2.58
Heimerdinger,Mage,SUPPORT,A,-1.16,51.87%,68.65%,4.07%,Blue (3.96%)/Red (6.16%),2.1
Heimerdinger,Mage,MID,B,-5.91,52.32%,14.38%,0.84%,Blue (0.67%)/Red (9.45%),2.01
Illaoi,Fighter,TOP,A,2.28,52.29%,94.06%,4.55%,Blue (1.2%)/Red (5.55%),1.48
Irelia,Fighter,MID,S,8.17,50.75%,50.98%,6.70%,Blue (15.26%)/Red (1.56%),1.85
Irelia,Fighter,TOP,S,1.45,50.00%,47.72%,6.23%,Blue (5.36%)/Red (11.46%),1.67
Ivern,Support,JUNGLE,B,11.2,50.92%,80.70%,1.13%,Blue (0.25%)/Red (0.19%),3.66
Ivern,Support,SUPPORT,D,-4.12,45.89%,10.94%,0.14%,Blue (0.39%)/Red (0.02%),2.46
Janna,Support,SUPPORT,A,-6.27,51.30%,97.90%,4.50%,Blue (1.37%)/Red (0.13%),3.18
Jarvan IV,Tank,JUNGLE,B,3.99,48.94%,87.95%,2.21%,Blue (0.1%)/Red (0.1%),3.07
Jax,Fighter,TOP,S+,27.78,51.94%,85.83%,12.04%,Blue (18.86%)/Red (2.99%),1.75
Jax,Fighter,JUNGLE,C,13.6,49.80%,11.19%,1.58%,Blue (3.06%)/Red (18.79%),2.21
Jayce,Fighter,TOP,A,15.73,50.29%,77.92%,5.41%,Blue (1.32%)/Red (0.81%),1.88
Jayce,Fighter,MID,B,1.91,53.03%,20.48%,1.38%,Blue (1.3%)/Red (0.83%),2.26
Jhin,Marksman,ADC,S+,3.82,51.43%,92.56%,17.41%,Blue (2.7%)/Red (0.7%),3.06
Jinx,Marksman,ADC,B,-3.01,50.67%,98.56%,7.44%,Blue (0.42%)/Red (0.12%),2.32
K'Sante,Fighter,TOP,S,-15.1,47.52%,93.24%,7.24%,Blue (5.77%)/Red (9.34%),1.97
Kai'Sa,Marksman,ADC,S+,-1.78,50.83%,96.92%,18.91%,Blue (0.05%)/Red (3.76%),2.51
Kalista,Marksman,ADC,D,-2.37,47.95%,86.37%,2.66%,Blue (0.2%)/Red (0.56%),2.22
Karma,Mage,SUPPORT,S+,9.2,49.52%,83.31%,9.99%,Blue (2.42%)/Red (1.0%),2.8
Karma,Mage,MID,B,0.0,50.63%,10.41%,1.29%,Blue (2.71%)/Red (0.71%),3.17
Karthus,Mage,MID,C,-8.67,49.37%,12.72%,0.37%,Blue (1.21%)/Red (0.46%),2.28
Karthus,Mage,ADC,C,1.43,53.28%,26.01%,0.93%,Blue (0.12%)/Red (1.55%),2.28
