Name,Class,Role,Tier,Trend,Win %,Role %,Pick %,Ban %,KDA
Aatrox,Fighter,TOP,A,6.52,49.97%,94.62%,4.43%,Blue (0.83%)/Red (1.2%),1.97
Ahri,Mage,MID,A,-0.24,49.93%,93.47%,4.62%,Blue (0.2%)/Red (0.84%),2.56
Akali,Assassin,MID,S,6.51,48.59%,65.65%,8.16%,Blue (6.51%)/Red (6.37%),2.34
Akali,Assassin,TOP,A,3.34,48.57%,34.06%,4.24%,Blue (5.57%)/Red (7.31%),2.04
Akshan,Marksman,MID,S,0.65,51.46%,58.01%,4.83%,Blue (5.07%)/Red (16.84%),2.23
Akshan,Marksman,TOP,A,-0.46,51.58%,33.45%,2.71%,Blue (18.51%)/Red (3.4%),1.97
Alistar,Tank,SUPPORT,B,-2.74,49.92%,98.55%,3.65%,Blue (0.73%)/Red (0.11%),2.51
Amumu,Tank,JUNGLE,B,1.72,50.27%,83.11%,3.13%,Blue (0.78%)/Red (0.73%),2.62
Amumu,Tank,SUPPORT,C,2.55,50.09%,14.95%,0.44%,Blue (0.99%)/Red (0.65%),2.05
Anivia,Mage,MID,A,-1.26,51.97%,82.16%,3.32%,Blue (0.57%)/Red (2.46%),2.66
Anivia,Mage,SUPPORT,D,-1.46,47.66%,12.51%,0.44%,Blue (1.22%)/Red (1.81%),2.18
Annie,Mage,MID,A,6.23,52.45%,85.00%,2.17%,Blue (0.66%)/Red (0.05%),2.39
Aphelios,Marksman,ADC,C,-1.67,47.36%,98.34%,5.79%,Blue (0.27%)/Red (1.19%),2.03
Ashe,Marksman,ADC,B,-9.95,49.66%,93.40%,6.03%,Blue (0.91%)/Red (0.2%),2.32
Aurelion Sol,Mage,MID,B,-2.74,50.81%,91.23%,0.89%,Blue (0.2%)/Red (0.05%),2.55
Azir,Mage,MID,D,2.09,46.67%,90.68%,1.12%,Blue (0.13%)/Red (0.08%),2.1
Bard,Support,SUPPORT,A,2.27,50.23%,98.67%,4.05%,Blue (0.36%)/Red (0.64%),2.97
Blitzcrank,Tank,SUPPORT,S,-0.81,51.87%,99.49%,8.61%,Blue (13.74%)/Red (4.49%),2.44
Brand,Mage,SUPPORT,B,-4.17,49.18%,79.04%,4.68%,Blue (2.16%)/Red (3.71%),1.77
Brand,Mage,MID,B,1.44,51.68%,12.83%,0.82%,Blue (4.22%)/Red (2.21%),2.04
Braum,Support,SUPPORT,A,2.77,50.73%,99.40%,2.87%,Blue (0.04%)/Red (0.35%),2.79
Caitlyn,Marksman,ADC,S+,-0.16,50.09%,98.70%,21.30%,Blue (12.07%)/Red (6.89%),2.31
Camille,Fighter,TOP,S+,9.6,50.20%,96.80%,7.17%,Blue (3.93%)/Red (3.61%),1.99
Cassiopeia,Mage,MID,B,-2.0,50.30%,71.90%,2.43%,Blue (0.48%)/Red (0.88%),2.09
Cassiopeia,Mage,TOP,D,-7.91,49.47%,17.98%,0.68%,Blue (0.35%)/Red (1.01%),1.83
Cho'Gath,Tank,TOP,A,2.64,52.82%,72.56%,2.59%,Blue (0.41%)/Red (0.54%),2.2
Cho'Gath,Tank,MID,C,-4.65,49.57%,17.42%,0.55%,Blue (0.37%)/Red (0.58%),2.37
Corki,Marksman,MID,A,0.29,49.38%,92.76%,6.79%,Blue (3.84%)/Red (0.07%),2.17
Darius,Fighter,TOP,S+,16.49,50.37%,95.85%,6.58%,Blue (6.22%)/Red (8.95%),1.87
Diana,Fighter,JUNGLE,S+,44.71,51.46%,83.98%,12.19%,Blue (9.21%)/Red (3.6%),2.49
Diana,Fighter,MID,A,4.03,52.62%,15.14%,2.17%,Blue (6.75%)/Red (6.06%),2.2
Dr. Mundo,Marksman,TOP,S,-2.08,51.76%,91.81%,4.06%,Blue (0.62%)/Red (2.35%),2.26
Draven,Fighter,ADC,B,-4.53,50.52%,95.90%,6.30%,Blue (2.69%)/Red (9.7%),2.16
Ekko,Assassin,JUNGLE,A,-1.56,49.91%,64.39%,6.16%,Blue (3.03%)/Red (1.06%),2.74
Ekko,Assassin,MID,A,0.91,49.67%,33.37%,3.26%,Blue (3.64%)/Red (0.45%),2.24
Elise,Mage,JUNGLE,B,-3.1,49.48%,94.98%,2.22%,Blue (0.98%)/Red (0.68%),2.56
Evelynn,Assassin,JUNGLE,A,-1.54,49.64%,98.86%,3.46%,Blue (6.95%)/Red (1.9%),2.94
Ezreal,Marksman,ADC,S+,1.83,49.28%,97.47%,20.07%,Blue (3.43%)/Red (1.77%),2.39
Fiddlesticks,Mage,JUNGLE,B,-1.29,50.54%,92.05%,2.91%,Blue (1.1%)/Red (1.76%),2.68
Fiora,Fighter,TOP,S,4.32,50.05%,97.65%,6.08%,Blue (2.71%)/Red (8.05%),1.76
Fizz,Assassin,MID,A,1.44,50.83%,96.26%,3.83%,Blue (4.33%)/Red (0.2%),2.46
Galio,Tank,MID,A,0.84,50.38%,63.28%,2.28%,Blue (0.06%)/Red (0.48%),2.71
Galio,Tank,SUPPORT,C,-1.3,48.87%,33.91%,1.22%,Blue (0.35%)/Red (0.19%),2.35
Gangplank,Fighter,TOP,S,14.31,47.66%,87.34%,5.92%,Blue (0.17%)/Red (4.27%),1.99
Gangplank,Fighter,MID,C,3.4,48.67%,12.95%,0.90%,Blue (3.36%)/Red (1.05%),2.23
Garen,Fighter,TOP,S,15.67,51.55%,87.46%,5.74%,Blue (0.31%)/Red (1.82%),2.1
Gnar,Fighter,TOP,A,4.58,49.86%,97.87%,3.05%,Blue (0.37%)/Red (0.23%),2.01
Gragas,Fighter,TOP,C,-2.35,48.75%,39.67%,1.96%,Blue (0.3%)/Red (0.02%),2.24
Gragas,Fighter,JUNGLE,C,-7.55,48.00%,40.60%,1.64%,Blue (0.04%)/Red (0.28%),2.7
Gragas,Fighter,SUPPORT,D,-2.55,47.64%,11.54%,0.49%,Blue (0.26%)/Red (0.06%),2.25
Graves,Marksman,JUNGLE,S,-9.95,49.28%,67.07%,7.51%,Blue (1.48%)/Red (7.96%),2.58
Graves,Marksman,TOP,B,-7.19,49.10%,25.53%,2.75%,Blue (6.94%)/Red (2.5%),1.72
Gwen,Fighter,TOP,A,13.03,49.82%,82.83%,4.23%,Blue (1.07%)/Red (1.36%),1.73
Gwen,Fighter,JUNGLE,C,5.74,51.35%,13.40%,0.70%,Blue (0.17%)/Red (2.26%),2.36
Hecarim,Fighter,JUNGLE,S,12.91,51.18%,99.23%,8.94%,Blue (3.83%)/Red (4.21%),3.02
Heimerdinger,Mage,MID,C,-1.34,49.28%,35.85%,0.80%,Blue (0.75%)/Red (0.06%),1.96
Heimerdinger,Mage,ADC,C,-1.93,51.76%,15.56%,0.29%,Blue (0.63%)/Red (0.18%),2.23
Heimerdinger,Mage,SUPPORT,C,-1.74,49.85%,10.09%,0.20%,Blue (0.48%)/Red (0.44%),1.83
Heimerdinger,Mage,TOP,D,-8.38,48.87%,38.86%,0.80%,Blue (0.14%)/Red (0.67%),1.65
Illaoi,Fighter,TOP,C,-3.45,49.16%,92.36%,2.07%,Blue (0.35%)/Red (2.18%),1.49
Irelia,Fighter,TOP,S+,-5.02,49.10%,60.00%,6.24%,Blue (4.87%)/Red (18.64%),1.58
Irelia,Fighter,MID,A,-1.08,48.24%,39.17%,4.10%,Blue (21.67%)/Red (1.84%),1.75
Ivern,Support,JUNGLE,C,1.46,48.09%,85.02%,1.21%,Blue (0.28%)/Red (0.06%),3.41
Janna,Support,SUPPORT,A,-3.82,50.56%,95.20%,4.60%,Blue (0.2%)/Red (0.37%),3.0
Jarvan IV,Tank,JUNGLE,A,4.21,51.04%,93.41%,4.22%,Blue (0.5%)/Red (0.04%),3.37
Jax,Fighter,TOP,S+,3.63,50.68%,85.79%,6.84%,Blue (7.08%)/Red (3.9%),1.63
Jax,Fighter,JUNGLE,C,-5.49,49.40%,13.26%,1.11%,Blue (6.41%)/Red (3.98%),2.13
Jayce,Fighter,TOP,S,-5.02,49.44%,74.77%,6.54%,Blue (1.04%)/Red (3.09%),1.78
Jayce,Fighter,MID,B,-2.3,48.62%,24.13%,1.97%,Blue (0.42%)/Red (3.71%),2.05
Jhin,Marksman,ADC,S+,3.23,51.03%,99.02%,24.55%,Blue (4.61%)/Red (1.2%),3.01
Jinx,Marksman,ADC,S+,-1.22,51.32%,99.51%,22.27%,Blue (2.55%)/Red (4.43%),2.43
Kai'Sa,Marksman,ADC,S+,10.5,49.48%,97.77%,19.45%,Blue (1.35%)/Red (4.6%),2.42
Kalista,Marksman,ADC,D,-0.06,49.03%,91.41%,1.53%,Blue (0.22%)/Red (0.05%),2.3
Karma,Mage,SUPPORT,S,6.96,48.91%,92.05%,10.22%,Blue (2.43%)/Red (0.53%),2.73
Karthus,Mage,ADC,B,-1.65,54.98%,21.05%,0.95%,Blue (1.56%)/Red (1.74%),2.23
Karthus,Mage,MID,B,3.77,52.58%,11.76%,0.41%,Blue (0.34%)/Red (2.96%),2.19
Karthus,Mage,JUNGLE,B,0.6,49.39%,57.80%,2.09%,Blue (0.0%)/Red (3.3%),2.45
Kassadin,Assassin,MID,A,-7.74,51.42%,97.04%,4.54%,Blue (9.61%)/Red (4.82%),2.49
Katarina,Assassin,MID,S,-0.88,49.59%,94.72%,7.12%,Blue (6.78%)/Red (3.11%),2.29
Kayle,Fighter,TOP,A,-5.26,50.71%,72.51%,3.11%,Blue (0.14%)/Red (1.05%),1.8
